id,x,y,valid
0,403.36,400.45,1
1,422.03,363.06,1
2,431.67,337.69,1
3,436.70,325.70,1
4,451.00,291.21,1
5,465.03,249.99,1
6,466.11,241.84,1
7,402.43,366.84,1
8,408.60,355.21,1
9,414.81,343.24,1
10,430.05,307.23,1
11,374.25,390.60,1
12,423.20,289.19,1
13,394.75,316.33,1
14,400.36,305.32,1
15,420.03,261.47,1
16,433.76,224.69,1
17,372.96,330.42,1
18,383.30,309.04,1
19,333.78,381.46,1
20,350.78,346.61,1
21,366.65,313.04,1
22,376.90,291.84,1
23,322.31,374.60,1
24,328.18,363.02,1
25,333.89,351.47,1
26,339.35,339.99,1
27,299.65,395.62,1
28,305.69,382.66,1
29,311.62,370.12,1
30,317.46,357.95,1
31,323.22,346.06,1
32,301.66,366.53,1
33,314.14,342.24,1
34,325.64,319.05,1
35,321.02,301.81,1
36,293.36,333.17,1
37,305.23,308.36,1
38,315.13,276.75,1
39,298.11,290.38,1
40,300.87,281.32,1
41,304.44,271.20,1
42,314.78,250.88,1
43,275.99,309.27,1
44,289.58,275.58,1
45,243.02,338.53,1
46,263.04,303.04,1
47,273.62,279.94,1
48,292.37,247.74,1
49,296.14,238.15,1
50,222.98,343.95,1
51,255.86,284.77,1
52,268.35,261.92,1
53,265.33,244.03,1
54,295.12,195.37,1
55,204.38,317.33,1
56,208.23,307.99,1
57,253.80,236.25,1
58,300.15,169.17,1
59,233.60,239.44,1
60,305.18,139.19,1
61,212.07,243.34,1
62,220.55,231.58,1
63,156.08,316.98,1
64,191.01,248.21,1
65,199.14,235.90,1
66,207.58,224.03,1
67,141.56,311.31,1
68,147.74,291.03,1
69,155.57,278.39,1
70,163.56,265.79,1
71,170.92,253.28,1
72,178.07,240.80,1
73,186.21,228.50,1
74,150.93,258.27,1
75,173.73,221.33,1
76,162.09,214.62,1
77,152.12,209.16,1
78,236.54,105.39,1
79,84.00,285.49,1
80,97.16,260.97,1
81,131.56,213.52,1
82,77.73,265.74,1
83,57.79,270.43,1
84,63.89,258.33,1
85,70.06,246.03,1
86,80.17,233.97,1
87,88.84,221.85,1
88,96.35,209.82,1
89,44.94,262.74,1
90,156.38,104.30,1
91,165.74,96.85,1
92,174.64,88.45,1
93,183.44,79.86,1
94,201.19,62.71,1
95,215.96,48.27,1
