id,x,y,valid
0,348.42,418.97,1
1,379.64,388.92,1
2,398.90,368.66,1
3,407.94,358.68,1
4,432.47,330.05,1
5,456.89,296.24,1
6,460.30,289.00,1
7,359.54,386.47,1
8,369.62,376.85,1
9,379.48,367.14,1
10,406.97,338.17,1
11,321.62,399.91,1
12,405.50,318.49,1
13,369.15,335.15,1
14,378.23,326.14,1
15,411.83,291.37,1
16,435.16,262.70,1
17,341.72,341.88,1
18,359.84,324.66,1
19,288.28,373.21,1
20,316.49,347.33,1
21,341.86,322.88,1
22,359.56,305.76,1
23,281.38,361.97,1
24,290.75,353.60,1
25,300.00,345.22,1
26,309.03,336.92,1
27,255.36,367.93,1
28,264.55,359.68,1
29,273.68,351.58,1
30,282.83,343.51,1
31,291.69,336.03,1
32,265.74,341.90,1
33,283.36,327.52,1
34,300.57,310.33,1
35,300.70,293.06,1
36,266.30,309.76,1
37,283.61,292.51,1
38,308.83,269.14,1
39,283.95,275.53,1
40,292.64,267.87,1
41,301.22,260.26,1
42,318.33,245.79,1
43,258.18,282.71,1
44,285.60,259.41,1
45,220.41,300.01,1
46,250.11,273.17,1
47,269.68,258.67,1
48,294.47,235.45,1
49,302.54,228.58,1
50,199.81,300.41,1
51,251.91,257.58,1
52,270.04,241.37,1
53,271.79,224.35,1
54,316.31,190.29,1
55,190.97,271.03,1
56,202.46,261.98,1
57,265.11,214.57,1
58,326.83,167.64,1
59,246.41,211.56,1
60,339.98,142.96,1
61,227.06,208.69,1
62,237.63,200.99,1
63,143.21,255.50,1
64,207.00,205.66,1
65,217.98,197.89,1
66,228.76,190.29,1
67,133.85,244.65,1
68,155.11,227.69,1
69,164.47,219.25,1
70,174.82,210.72,1
71,186.26,202.56,1
72,197.71,194.73,1
73,208.92,187.10,1
74,165.21,199.67,1
75,199.85,176.32,1
76,190.59,165.35,1
77,180.83,153.91,1
78,292.28,87.12,1
79,91.88,200.74,1
80,112.49,183.05,1
81,159.34,150.15,1
82,90.38,180.32,1
83,67.16,177.60,1
84,79.19,168.77,1
85,91.08,159.99,1
86,102.70,151.26,1
87,114.14,142.58,1
88,125.58,133.97,1
89,55.37,166.07,1
90,220.73,55.70,1
91,231.97,49.09,1
92,242.97,42.94,1
93,253.56,37.70,1
94,273.40,28.91,1
95,290.45,23.47,1
