id,x,y,valid
0,317.08,422.61,1
1,353.90,399.03,1
2,377.32,382.80,1
3,388.41,374.63,1
4,417.64,350.52,1
5,447.52,321.94,1
6,452.71,315.53,1
7,334.25,392.42,1
8,346.14,384.81,1
9,357.88,377.12,1
10,391.57,353.95,1
11,293.59,398.52,1
12,394.07,333.93,1
13,353.77,343.16,1
14,364.64,336.02,1
15,406.03,308.02,1
16,435.27,283.70,1
17,324.73,344.73,1
18,346.44,330.86,1
19,266.83,364.37,1
20,298.60,345.01,1
21,328.79,325.72,1
22,349.80,312.37,1
23,262.34,351.96,1
24,272.89,345.57,1
25,282.91,339.34,1
26,292.99,332.96,1
27,236.31,352.59,1
28,246.36,346.50,1
29,256.83,340.15,1
30,266.60,334.46,1
31,276.78,328.09,1
32,250.97,328.94,1
33,270.33,317.43,1
34,290.65,304.22,1
35,293.22,287.47,1
36,257.66,296.01,1
37,278.21,283.33,1
38,307.56,265.71,1
39,282.01,267.07,1
40,291.88,261.30,1
41,301.67,255.43,1
42,320.73,243.95,1
43,255.51,268.85,1
44,285.69,251.17,1
45,216.73,277.26,1
46,248.99,259.03,1
47,269.85,247.26,1
48,299.01,229.66,1
49,308.63,224.30,1
50,197.62,274.41,1
51,252.98,242.88,1
52,273.66,230.81,1
53,278.08,214.57,1
54,327.54,187.76,1
55,193.78,245.85,1
56,205.51,239.44,1
57,272.06,203.59,1
58,342.39,166.90,1
59,254.71,197.85,1
60,363.17,143.37,1
61,236.67,191.96,1
62,247.93,186.13,1
63,148.02,223.38,1
64,218.05,185.96,1
65,229.64,180.08,1
66,241.07,174.29,1
67,140.96,211.41,1
68,162.84,198.52,1
69,174.52,192.08,1
70,186.69,185.87,1
71,198.83,179.84,1
72,210.76,173.90,1
73,222.50,168.04,1
74,179.01,173.59,1
75,215.14,155.72,1
76,207.42,142.99,1
77,199.21,129.76,1
78,324.50,75.04,1
79,103.95,161.23,1
80,129.04,148.00,1
81,178.49,122.45,1
82,106.84,141.25,1
83,83.26,134.33,1
84,96.67,127.67,1
85,109.73,120.95,1
86,122.59,114.25,1
87,135.47,107.67,1
88,148.46,101.30,1
89,72.70,120.85,1
90,254.55,36.18,1
91,266.60,31.55,1
92,278.31,27.46,1
93,289.68,23.59,1
94,311.29,16.55,1
95,330.73,11.98,1
