id,x,y,valid
0,199.59,377.81,1
1,241.35,385.98,1
2,268.52,392.04,1
3,282.02,395.31,1
4,322.95,405.79,1
5,380.54,425.98,1
6,396.18,432.94,1
7,231.35,368.14,1
8,245.12,370.74,1
9,258.75,373.42,1
10,299.06,382.37,1
11,195.87,344.11,1
12,315.57,370.08,1
13,278.94,346.86,1
14,292.18,349.55,1
15,345.78,361.67,1
16,392.60,387.40,1
17,255.97,326.90,1
18,282.19,332.55,1
19,199.87,298.57,1
20,235.89,307.02,1
21,272.49,315.57,1
22,298.36,321.11,1
23,204.88,285.46,1
24,216.88,288.23,1
25,228.90,291.00,1
26,240.56,293.65,1
27,189.80,268.78,1
28,199.73,270.81,1
29,209.83,272.85,1
30,221.31,275.43,1
31,233.17,278.10,1
32,214.65,260.73,1
33,237.14,265.55,1
34,260.15,270.42,1
35,274.93,260.11,1
36,244.47,241.33,1
37,266.90,245.65,1
38,301.06,251.88,1
39,281.06,235.47,1
40,292.41,237.44,1
41,303.95,239.44,1
42,327.85,243.72,1
43,261.53,219.55,1
44,295.04,225.13,1
45,232.71,202.76,1
46,264.02,207.58,1
47,286.07,211.03,1
48,320.77,216.44,1
49,332.73,218.26,1
50,224.68,189.49,1
51,277.09,197.08,1
52,299.60,200.40,1
53,313.15,189.38,1
54,374.78,197.29,1
55,237.11,166.44,1
56,247.61,167.76,1
57,314.89,176.39,1
58,403.90,185.58,1
59,304.48,161.59,1
60,439.84,163.28,0
61,293.84,146.57,1
62,305.80,147.90,1
63,214.56,124.35,1
64,282.92,131.31,1
65,294.89,132.51,1
66,307.17,133.81,1
67,213.14,109.97,1
68,236.39,112.27,1
69,248.07,113.43,1
70,259.78,114.57,1
71,271.60,115.67,1
72,283.72,116.81,1
73,296.13,118.09,1
74,259.78,99.50,1
75,297.58,103.69,1
76,299.06,89.01,1
77,300.41,73.45,1
78,452.83,78.07,1
79,207.31,44.93,1
80,234.55,48.81,1
81,288.40,55.88,1
82,220.81,29.86,1
83,206.15,9.11,1
84,220.86,12.57,1
85,235.18,15.08,1
86,248.99,16.83,1
87,262.37,17.96,1
88,275.78,18.82,1
89,206.44,-8.56,0
90,404.03,18.32,1
91,418.58,19.18,1
92,433.47,19.75,1
93,449.20,18.99,1
94,483.83,6.19,1
95,520.18,-23.00,0
