id,x,y,valid
0,134.22,164.94,1
1,129.39,206.84,1
2,131.55,238.23,1
3,132.80,254.24,1
4,138.59,302.73,1
5,154.40,362.54,1
6,160.59,374.67,1
7,141.73,188.14,1
8,141.67,203.52,1
9,142.59,219.45,1
10,148.40,268.33,1
11,157.89,142.02,1
12,166.24,282.53,1
13,175.92,230.42,1
14,178.31,246.95,1
15,189.40,312.33,1
16,201.91,374.99,1
17,190.06,195.68,1
18,194.79,228.10,1
19,200.25,116.44,1
20,204.40,163.61,1
21,211.03,210.80,1
22,215.33,241.99,1
23,217.51,115.59,1
24,219.23,131.29,1
25,220.90,148.02,1
26,222.11,164.48,1
27,231.54,84.42,1
28,233.36,100.27,1
29,235.08,116.43,1
30,236.69,132.68,1
31,238.09,149.37,1
32,251.47,118.59,1
33,253.63,150.32,1
34,256.23,181.55,1
35,271.24,188.44,1
36,282.57,152.27,1
37,285.88,177.16,1
38,288.07,208.48,1
39,302.02,184.95,1
40,302.46,193.38,1
41,303.76,204.10,1
42,310.24,235.01,1
43,313.38,161.01,1
44,317.54,188.25,1
45,320.41,121.17,1
46,327.78,158.23,1
47,331.59,176.10,1
48,339.64,212.49,1
49,342.88,228.14,1
50,331.84,105.34,1
51,344.81,165.39,1
52,349.29,178.90,1
53,369.24,189.94,1
54,385.02,268.32,1
55,362.05,105.26,1
56,365.22,118.39,1
57,385.03,187.00,1
58,407.98,296.34,1
59,399.07,167.41,1
60,434.10,339.74,1
61,411.00,155.68,1
62,416.18,163.56,1
63,395.83,87.49,1
64,422.11,146.18,1
65,427.73,152.79,1
66,433.88,160.03,1
67,409.55,84.53,1
68,419.34,98.27,1
69,425.77,102.23,1
70,430.43,113.47,1
71,434.97,126.28,1
72,438.61,141.01,1
73,444.30,150.48,1
74,446.27,109.45,1
75,461.10,147.58,1
76,478.86,143.15,1
77,498.26,135.79,1
78,531.03,303.92,1
79,468.68,64.08,1
80,477.22,87.50,1
81,508.56,119.59,1
82,488.62,70.58,1
83,501.28,51.60,1
84,505.25,64.39,1
85,509.72,76.80,1
86,514.25,89.39,1
87,519.38,101.76,1
88,527.23,111.34,1
89,517.90,45.67,1
90,561.43,229.37,1
91,567.57,243.76,1
92,574.99,258.30,1
93,583.97,273.09,1
94,597.91,304.32,1
95,600.13,334.26,1
