id,x,y,valid
0,469.89,333.32,1
1,468.51,292.57,1
2,467.77,265.66,1
3,467.56,252.26,1
4,467.69,212.18,1
5,466.40,157.87,1
6,462.58,146.55,1
7,453.10,305.08,1
8,452.57,291.61,1
9,452.20,278.32,1
10,451.45,238.98,1
11,443.79,347.74,1
12,436.32,226.23,1
13,426.06,264.91,1
14,424.19,252.28,1
15,422.05,201.06,1
16,423.77,146.04,1
17,418.31,291.52,1
18,417.10,264.08,1
19,414.17,368.02,1
20,410.53,321.00,1
21,407.18,277.35,1
22,405.61,249.81,1
23,406.21,371.51,1
24,404.34,354.48,1
25,403.09,338.10,1
26,401.35,322.10,1
27,391.67,407.28,1
28,392.67,390.83,1
29,393.45,374.09,1
30,393.60,357.04,1
31,392.87,339.97,1
32,376.23,373.10,1
33,378.37,341.36,1
34,377.53,307.72,1
35,362.35,291.78,1
36,344.52,336.17,1
37,345.52,308.61,1
38,343.85,260.39,1
39,329.00,292.79,1
40,329.34,276.47,1
41,328.62,260.23,1
42,324.05,232.40,1
43,313.41,316.71,1
44,312.23,277.07,1
45,298.22,355.40,1
46,297.85,315.10,1
47,296.55,289.01,1
48,293.40,245.05,1
49,292.37,237.40,1
50,283.65,366.46,1
51,281.27,301.79,1
52,278.35,277.00,1
53,258.74,265.45,1
54,262.42,192.80,1
55,256.38,348.46,1
56,255.00,336.84,1
57,240.13,267.30,1
58,245.93,165.86,1
59,225.43,282.45,1
60,238.26,117.11,1
61,211.08,297.96,1
62,207.30,284.48,1
63,218.44,368.71,1
64,197.59,312.14,1
65,193.09,300.14,1
66,189.56,285.42,1
67,204.30,369.73,1
68,198.18,349.82,1
69,194.13,341.11,1
70,189.64,333.50,1
71,184.70,325.58,1
72,179.69,314.87,1
73,175.60,301.16,1
74,172.24,338.59,1
75,159.44,301.16,1
76,145.31,300.53,1
77,132.34,299.67,1
78,141.55,129.91,1
79,142.29,382.93,1
80,130.31,369.22,1
81,120.10,314.45,1
82,118.54,382.30,1
83,106.23,395.86,1
84,101.92,384.74,1
85,98.80,371.70,1
86,97.46,357.31,1
87,97.00,342.43,1
88,96.07,327.67,1
89,89.74,398.22,1
90,67.72,190.95,1
91,65.83,174.07,1
92,68.05,158.34,1
93,76.30,146.54,1
94,102.59,136.52,0
95,112.90,115.86,1
