id,x,y,valid
0,143.53,299.29,1
1,171.53,330.04,1
2,190.21,351.73,1
3,199.55,363.11,1
4,226.25,401.37,1
5,275.47,450.95,1
6,285.97,468.59,1
7,174.21,307.88,1
8,183.20,318.12,1
9,192.19,328.63,1
10,219.46,362.52,1
11,156.78,267.33,1
12,235.98,363.01,1
13,223.73,315.38,1
14,231.55,326.25,1
15,267.00,376.38,1
16,315.25,437.16,1
17,217.41,284.18,1
18,233.61,303.67,1
19,182.57,227.28,1
20,209.74,254.49,1
21,236.89,282.74,1
22,252.81,302.18,1
23,194.23,217.95,1
24,202.61,226.35,1
25,211.51,235.19,1
26,220.66,244.24,1
27,189.27,192.99,1
28,197.84,201.37,1
29,205.66,209.03,1
30,213.79,216.99,1
31,222.54,225.55,1
32,216.67,200.32,1
33,233.36,216.23,1
34,251.10,233.21,1
35,270.20,231.66,1
36,253.38,197.25,1
37,270.96,213.21,1
38,297.88,237.28,1
39,289.16,210.67,1
40,298.85,219.18,1
41,307.87,226.59,1
42,328.52,243.80,1
43,280.15,184.24,1
44,308.26,208.31,1
45,263.74,153.35,1
46,289.36,174.04,1
47,308.44,190.39,1
48,338.23,214.32,1
49,348.19,224.18,1
50,263.45,135.93,1
51,308.39,171.93,1
52,327.77,188.88,1
53,347.16,187.64,1
54,394.85,217.42,1
55,290.51,125.99,1
56,299.37,133.52,1
57,356.50,177.95,1
58,426.47,211.31,1
59,355.33,160.69,1
60,484.60,229.61,1
61,353.62,142.67,1
62,363.86,149.21,1
63,299.50,91.55,1
64,351.01,123.34,1
65,361.51,129.96,1
66,372.29,136.95,1
67,306.28,79.77,1
68,322.95,89.37,1
69,331.67,94.33,1
70,339.57,98.91,1
71,348.39,103.87,1
72,358.85,110.10,1
73,369.79,117.14,1
74,345.85,84.28,1
75,378.29,103.99,1
76,386.97,90.50,1
77,395.86,76.61,1
78,518.30,139.07,1
79,328.31,19.33,1
80,347.02,26.97,1
81,393.10,54.98,1
82,343.67,4.96,1
83,339.99,-18.62,0
84,351.45,-12.21,0
85,363.33,-5.15,0
86,375.31,2.48,1
87,387.34,10.13,1
88,399.47,17.51,1
89,347.79,-36.04,0
90,540.31,47.01,1
91,562.13,43.40,1
92,582.08,52.54,1
93,584.44,71.80,1
94,561.96,101.85,0
95,574.43,124.50,1
