id,x,y,valid
0,177.90,354.81,1
1,216.92,371.42,1
2,242.53,383.12,1
3,255.32,389.20,1
4,294.61,408.75,1
5,348.51,444.51,1
6,364.76,453.69,1
7,210.96,351.13,1
8,223.85,356.57,1
9,236.66,362.10,1
10,274.90,379.34,1
11,179.95,320.71,1
12,294.31,370.30,1
13,262.08,338.78,1
14,274.64,344.09,1
15,318.88,370.25,1
16,371.74,410.57,1
17,243.12,314.58,1
18,268.04,324.94,1
19,193.33,276.54,1
20,225.67,290.92,1
21,261.52,306.33,1
22,286.19,316.58,1
23,200.59,264.43,1
24,211.43,269.16,1
25,221.87,273.66,1
26,232.52,278.25,1
27,186.84,243.90,1
28,196.60,248.00,1
29,207.38,252.62,1
30,218.26,257.26,1
31,228.76,261.68,1
32,213.86,241.11,1
33,235.21,249.95,1
34,256.12,258.35,1
35,272.93,250.72,1
36,246.77,226.86,1
37,267.70,234.76,1
38,301.05,247.44,1
39,283.77,227.02,1
40,294.77,231.02,1
41,306.08,235.16,1
42,329.50,243.72,1
43,267.45,207.76,1
44,299.74,219.03,1
45,242.03,186.08,1
46,272.14,196.17,1
47,293.46,203.31,1
48,327.02,214.32,1
49,338.89,218.22,1
50,236.84,171.73,1
51,286.99,187.74,1
52,308.82,194.65,1
53,324.21,185.40,1
54,385.82,202.45,1
55,253.35,150.88,1
56,263.27,153.72,1
57,328.25,172.38,1
58,419.56,194.25,1
59,320.37,155.72,1
60,444.65,168.15,1
61,312.45,138.85,1
62,324.33,142.18,1
63,239.67,106.24,1
64,304.61,122.13,1
65,316.57,125.65,1
66,328.63,129.11,1
67,241.33,92.11,1
68,262.78,97.10,1
69,273.74,99.64,1
70,285.03,102.35,1
71,296.72,105.46,1
72,308.67,108.81,1
73,320.73,112.06,1
74,288.70,88.60,1
75,324.76,97.37,1
76,327.71,81.44,1
77,330.90,64.57,1
78,479.46,71.34,1
79,249.53,31.20,1
80,273.28,36.04,1
81,321.54,44.73,1
82,262.38,15.36,1
83,250.10,-7.40,0
84,262.89,-4.28,0
85,275.63,-1.79,0
86,288.69,0.67,1
87,302.19,3.59,1
88,315.95,7.28,1
89,251.20,-27.42,0
90,446.87,25.65,1
91,462.38,27.81,1
92,479.65,26.58,1
93,498.04,21.39,1
94,537.86,1.81,1
95,558.39,28.41,1
