id,x,y,valid
0,376.54,412.03,1
1,400.85,377.08,1
2,415.45,354.14,1
3,422.38,343.03,1
4,441.69,311.26,1
5,461.11,273.86,1
6,462.94,266.49,1
7,381.46,378.74,1
8,389.55,367.65,1
9,397.23,356.37,1
10,418.38,323.51,1
11,348.51,397.49,1
12,414.02,304.60,1
13,382.14,327.21,1
14,389.69,316.68,1
15,415.46,277.08,1
16,435.38,243.65,1
17,357.78,337.48,1
18,371.02,318.25,1
19,310.54,379.55,1
20,333.39,348.31,1
21,354.60,319.00,1
22,367.97,299.92,1
23,300.76,370.22,1
24,308.68,359.75,1
25,316.36,349.66,1
26,323.86,339.58,1
27,275.51,381.84,1
28,283.50,371.43,1
29,291.38,361.13,1
30,299.12,351.12,1
31,306.78,341.58,1
32,282.06,355.75,1
33,297.25,334.44,1
34,312.89,315.98,1
35,308.00,299.14,1
36,277.70,321.39,1
37,292.81,301.22,1
38,310.76,273.21,1
39,288.08,285.03,1
40,294.47,275.31,1
41,301.44,266.16,1
42,315.62,248.48,1
43,265.01,296.49,1
44,286.69,268.19,1
45,228.51,323.78,1
46,253.80,289.37,1
47,269.58,269.38,1
48,291.03,242.21,1
49,298.48,233.43,1
50,208.82,324.44,1
51,251.56,270.98,1
52,269.68,252.60,1
53,267.71,234.68,1
54,306.27,193.11,1
55,192.51,297.30,1
56,201.59,286.66,1
57,258.87,225.65,1
58,312.67,168.90,1
59,239.14,225.61,1
60,320.68,142.10,1
61,218.31,225.85,1
62,228.22,216.38,1
63,145.93,288.40,1
64,196.93,226.47,1
65,207.32,216.75,1
66,217.35,207.30,1
67,133.45,279.92,1
68,149.13,259.34,1
69,158.15,248.76,1
70,166.82,238.16,1
71,175.57,227.50,1
72,185.86,217.26,1
73,196.37,207.63,1
74,154.88,228.81,1
75,185.81,198.85,1
76,175.80,190.59,1
77,165.20,181.63,1
78,262.47,98.34,1
79,85.86,243.08,1
80,100.84,221.95,1
81,143.76,181.78,1
82,79.83,223.17,1
83,58.40,224.19,1
84,67.97,213.52,1
85,78.53,203.00,1
86,88.77,192.57,1
87,98.00,182.07,1
88,107.17,171.52,1
89,45.71,214.37,1
90,186.92,78.82,1
91,197.19,71.25,1
92,207.39,63.84,1
93,217.40,56.67,1
94,235.84,44.30,1
95,251.24,36.59,1
