id,x,y,valid
0,124.63,234.15,1
1,139.82,273.93,1
2,147.32,302.35,1
3,154.39,316.52,1
4,173.17,361.60,1
5,196.34,429.74,1
6,205.73,443.79,1
7,148.04,252.70,1
8,153.26,266.24,1
9,156.23,280.03,1
10,168.70,325.12,1
11,148.05,207.38,1
12,188.47,333.14,1
13,185.28,278.29,1
14,191.30,293.31,1
15,218.85,356.54,1
16,251.73,420.86,1
17,189.64,241.57,1
18,201.91,270.37,1
19,186.71,176.24,1
20,199.33,210.92,1
21,212.43,248.93,1
22,225.58,277.68,1
23,199.65,169.02,1
24,204.46,180.42,1
25,208.93,191.86,1
26,213.37,203.66,1
27,201.55,138.83,1
28,206.99,150.13,1
29,212.17,161.38,1
30,216.92,172.55,1
31,221.40,183.78,1
32,224.25,153.21,1
33,234.29,175.81,1
34,246.36,201.18,1
35,267.81,209.23,1
36,263.27,163.86,1
37,275.80,190.38,1
38,293.32,231.19,1
39,293.93,199.89,1
40,300.35,212.72,1
41,307.30,225.10,1
42,316.26,244.43,1
43,293.51,172.49,1
44,313.63,206.42,1
45,288.18,135.22,1
46,306.24,166.70,1
47,319.16,187.45,1
48,337.31,216.80,1
49,338.59,221.66,1
50,295.26,122.06,1
51,323.91,167.77,1
52,338.62,190.74,1
53,358.26,191.68,1
54,392.03,240.27,1
55,324.51,124.48,1
56,330.47,132.33,1
57,371.22,182.30,1
58,423.54,259.14,1
59,376.81,165.42,1
60,468.27,292.14,1
61,381.52,147.32,1
62,389.75,156.32,1
63,345.60,87.21,1
64,386.65,133.41,1
65,394.33,139.12,1
66,402.91,147.10,1
67,356.20,77.64,1
68,369.09,92.04,1
69,376.46,101.08,1
70,384.00,110.86,1
71,391.69,120.19,1
72,399.40,126.33,1
73,407.48,131.13,1
74,395.94,101.04,1
75,420.73,124.72,1
76,433.99,114.94,1
77,447.43,107.15,1
78,543.53,220.04,1
79,400.56,29.55,1
80,416.96,48.42,1
81,451.74,88.04,1
82,421.50,26.34,1
83,426.34,2.94,1
84,434.69,13.74,1
85,443.38,24.18,1
86,452.34,34.31,1
87,461.52,44.35,1
88,470.96,54.41,1
89,439.74,-9.85,0
90,575.07,135.55,1
91,566.89,150.36,1
92,561.29,164.57,1
93,565.05,178.67,1
94,593.50,199.87,1
95,631.84,219.55,1
