id,x,y,valid
0,283.66,420.51,1
1,324.03,404.60,1
2,349.66,392.94,1
3,361.79,387.00,1
4,397.02,370.61,1
5,433.28,348.96,1
6,442.77,344.44,1
7,306.05,394.35,1
8,319.17,389.39,1
9,332.25,384.32,1
10,369.31,367.81,1
11,264.00,392.48,1
12,376.79,349.26,1
13,335.12,349.71,1
14,347.42,345.02,1
15,394.18,326.14,1
16,430.71,308.22,1
17,306.40,345.01,1
18,330.52,335.90,1
19,246.02,352.55,1
20,278.50,340.32,1
21,314.22,327.11,1
22,337.72,318.27,1
23,243.07,339.44,1
24,254.54,335.20,1
25,265.53,331.10,1
26,275.51,327.06,1
27,218.62,334.69,1
28,229.38,330.78,1
29,239.93,326.86,1
30,251.27,322.59,1
31,262.40,318.41,1
32,236.33,314.75,1
33,258.93,306.19,1
34,279.37,297.89,1
35,286.97,281.89,1
36,251.16,282.75,1
37,272.42,274.45,1
38,305.29,262.73,1
39,279.85,259.26,1
40,290.60,255.35,1
41,301.24,251.42,1
42,322.71,243.71,1
43,253.82,256.03,1
44,286.49,244.07,1
45,215.88,256.90,1
46,249.23,244.87,1
47,271.31,236.78,1
48,303.90,225.08,1
49,314.66,221.29,1
50,198.76,250.19,1
51,255.65,229.55,1
52,277.87,221.52,1
53,284.52,206.16,1
54,339.39,187.12,1
55,198.63,223.06,1
56,210.50,218.85,1
57,280.07,194.37,1
58,357.77,167.75,1
59,263.94,186.17,1
60,386.81,144.42,1
61,247.26,177.69,1
62,259.07,173.70,1
63,156.64,194.32,1
64,230.11,169.01,1
65,242.14,164.96,1
66,254.11,160.98,1
67,151.03,181.40,1
68,174.65,172.53,1
69,187.40,168.34,1
70,200.05,164.22,1
71,212.47,160.11,1
72,224.73,156.01,1
73,236.89,151.94,1
74,194.25,150.94,1
75,231.35,138.47,1
76,225.42,124.46,1
77,219.26,109.94,1
78,354.49,68.64,1
79,122.08,126.13,1
80,148.61,117.26,1
81,200.08,99.42,1
82,127.53,106.72,1
83,105.13,95.64,1
84,119.06,91.24,1
85,132.78,86.69,1
86,146.58,82.27,1
87,160.59,78.21,1
88,174.77,74.67,1
89,96.78,80.18,1
90,287.54,24.37,1
91,300.21,19.89,1
92,312.81,16.00,1
93,325.05,13.52,1
94,348.64,8.65,1
95,371.56,2.88,1
