id,x,y,valid
0,429.20,382.17,1
1,441.54,343.70,1
2,449.66,317.73,1
3,453.37,304.69,1
4,460.87,267.18,1
5,467.56,222.95,1
6,467.69,213.67,1
7,423.19,348.94,1
8,426.79,336.85,1
9,430.62,324.70,1
10,442.93,287.31,1
11,398.30,379.28,1
12,432.42,270.42,1
13,407.49,301.23,1
14,411.06,289.59,1
15,425.85,241.84,1
16,432.67,201.58,1
17,387.57,320.14,1
18,394.48,296.50,1
19,357.52,378.44,1
20,369.69,340.90,1
21,378.66,304.30,1
22,385.46,280.62,1
23,347.29,376.79,1
24,350.44,362.87,1
25,354.26,349.82,1
26,357.97,336.99,1
27,330.05,405.30,1
28,334.05,390.36,1
29,337.31,375.44,1
30,340.68,361.14,1
31,344.55,347.58,1
32,326.57,373.96,1
33,334.42,345.33,1
34,341.35,318.19,1
35,334.94,301.84,1
36,311.04,339.69,1
37,319.15,311.30,1
38,326.09,273.82,1
39,310.52,293.37,1
40,312.53,280.53,1
41,313.09,271.40,1
42,316.27,251.05,1
43,288.31,317.66,1
44,299.11,276.86,1
45,260.66,349.00,1
46,273.49,313.28,1
47,282.82,284.39,1
48,291.40,251.47,1
49,297.12,239.83,1
50,243.04,354.65,1
51,263.54,294.61,1
52,271.29,269.55,1
53,262.31,251.92,1
54,284.99,196.34,1
55,219.88,331.93,1
56,222.59,321.04,1
57,249.37,245.89,1
58,286.20,168.24,1
59,229.03,252.56,1
60,290.48,131.91,1
61,207.15,260.64,1
62,213.77,246.59,1
63,172.59,339.76,1
64,188.01,269.80,1
65,193.79,255.57,1
66,199.96,241.58,1
67,157.12,336.97,1
68,156.87,319.10,1
69,158.50,307.10,1
70,162.60,293.05,1
71,169.02,278.71,1
72,174.84,264.52,1
73,180.21,250.45,1
74,149.73,287.57,1
75,165.72,245.30,1
76,151.66,240.20,1
77,139.10,235.44,1
78,210.14,110.46,1
79,91.94,325.64,1
80,99.33,299.17,1
81,119.08,244.17,1
82,81.04,307.52,1
83,63.79,315.51,1
84,67.70,302.18,1
85,71.00,288.84,1
86,72.54,275.67,1
87,80.66,262.05,1
88,89.59,248.64,1
89,50.57,310.19,1
90,126.33,126.10,1
91,136.68,120.56,1
92,145.43,113.40,1
93,153.04,104.97,1
94,166.67,84.88,1
95,181.47,63.39,1
