id,x,y,valid
0,224.26,396.59,1
1,266.69,396.25,1
2,294.20,396.63,1
3,307.82,397.01,1
4,348.43,398.30,1
5,404.14,404.52,1
6,419.24,407.43,1
7,253.60,381.46,1
8,267.56,381.34,1
9,281.36,381.16,1
10,321.90,381.58,1
11,215.19,363.96,1
12,335.71,367.05,1
13,296.45,352.13,1
14,309.84,352.31,1
15,362.21,353.03,1
16,410.04,360.87,1
17,271.13,336.08,1
18,297.20,337.30,1
19,210.45,318.99,1
20,248.07,320.54,1
21,285.22,322.11,1
22,311.05,323.19,1
23,213.77,305.46,1
24,224.78,305.73,1
25,237.16,306.23,1
26,249.80,306.73,1
27,195.18,292.10,1
28,206.72,292.48,1
29,217.03,292.55,1
30,227.25,292.51,1
31,239.03,292.88,1
32,219.79,280.03,1
33,240.92,280.00,1
34,264.93,280.76,1
35,277.90,268.32,1
36,244.54,255.48,1
37,267.09,255.64,1
38,302.14,256.05,1
39,279.35,243.46,1
40,290.91,243.51,1
41,302.59,243.56,1
42,326.27,243.68,1
43,257.35,231.38,1
44,291.29,231.20,1
45,224.48,219.69,1
46,257.52,219.29,1
47,280.01,219.02,1
48,314.77,218.72,1
49,326.62,218.64,1
50,212.88,207.84,1
51,268.55,206.92,1
52,291.43,206.57,1
53,302.86,193.88,1
54,363.21,192.51,1
55,221.49,183.04,1
56,232.92,182.75,1
57,302.53,181.16,1
58,388.87,178.36,1
59,290.16,168.49,1
60,428.53,158.88,1
61,277.33,155.49,1
62,289.32,155.17,1
63,190.38,144.28,1
64,263.88,142.07,1
65,276.07,141.75,1
66,288.29,141.41,1
67,187.28,130.05,1
68,212.54,129.25,1
69,224.88,128.85,1
70,237.29,128.47,1
71,249.75,128.12,1
72,262.17,127.79,1
73,274.64,127.46,1
74,234.95,113.57,1
75,273.35,112.62,1
76,272.28,97.77,1
77,271.31,83.16,1
78,419.27,73.99,1
79,174.97,67.56,1
80,200.89,66.11,1
81,256.75,67.93,1
82,184.59,49.56,1
83,167.35,31.87,1
84,182.18,32.71,1
85,197.13,33.82,1
86,211.96,35.14,1
87,226.37,35.74,1
88,240.25,35.58,1
89,164.96,14.70,1
90,363.15,16.17,1
91,377.18,14.80,1
92,391.47,12.89,1
93,406.18,10.23,1
94,437.69,1.75,1
95,471.12,-18.86,0
