id,x,y,valid
0,252.34,411.24,1
1,294.24,402.49,1
2,321.21,396.68,1
3,334.44,393.99,1
4,373.05,386.29,1
5,421.80,376.73,1
6,435.51,376.42,1
7,278.60,390.55,1
8,292.38,388.12,1
9,306.03,385.38,1
10,345.15,376.26,1
11,237.73,380.43,1
12,356.13,359.86,1
13,315.52,352.98,1
14,328.76,350.88,1
15,378.82,341.20,1
16,426.52,332.39,1
17,288.44,342.02,1
18,313.65,338.12,1
19,227.28,337.40,1
20,261.82,331.80,1
21,299.64,325.88,1
22,324.46,321.93,1
23,227.73,323.71,1
24,238.00,321.82,1
25,248.63,319.89,1
26,260.80,318.02,1
27,204.30,314.31,1
28,215.90,312.43,1
29,227.62,310.54,1
30,238.51,308.67,1
31,248.41,306.60,1
32,226.95,297.80,1
33,248.24,293.82,1
34,270.96,289.92,1
35,281.62,275.58,1
36,247.09,269.31,1
37,268.83,265.27,1
38,303.32,259.56,1
39,278.73,251.34,1
40,290.01,249.38,1
41,301.45,247.44,1
42,324.48,243.57,1
43,254.71,243.41,1
44,288.18,237.41,1
45,218.58,237.67,1
46,252.39,231.53,1
47,274.88,227.47,1
48,308.93,221.44,1
49,320.41,219.47,1
50,204.42,227.88,1
51,261.15,217.53,1
52,283.90,213.43,1
53,292.99,199.21,1
54,351.27,188.86,1
55,208.18,201.85,1
56,220.06,199.63,1
57,290.53,186.83,1
58,373.34,171.78,1
59,276.13,176.28,1
60,409.10,151.62,1
61,261.22,165.42,1
62,273.30,163.33,1
63,170.85,167.51,1
64,245.76,154.18,1
65,258.08,152.06,1
66,270.33,149.96,1
67,166.47,153.79,1
68,191.84,149.19,1
69,204.64,146.99,1
70,217.21,144.76,1
71,229.75,142.55,1
72,242.26,140.38,1
73,254.74,138.22,1
74,213.21,130.56,1
75,251.13,123.83,1
76,247.46,108.92,1
77,244.02,93.99,1
78,385.89,69.33,1
79,146.74,94.76,1
80,172.72,89.51,1
81,226.96,80.87,1
82,153.69,75.72,1
83,133.52,61.05,1
84,147.85,58.98,1
85,162.28,56.90,1
86,176.96,55.32,1
87,191.81,54.52,1
88,206.39,53.87,1
89,128.00,44.36,1
90,324.25,18.51,1
91,337.56,15.89,1
92,350.98,12.62,1
93,364.58,8.74,1
94,391.66,2.53,1
95,420.57,-9.88,0
