id,x,y,valid
0,125.79,199.03,1
1,129.66,240.83,1
2,137.67,270.77,1
3,141.16,286.19,1
4,150.40,334.74,1
5,172.81,396.36,1
6,180.37,409.07,1
7,143.09,221.33,1
8,142.47,235.14,1
9,143.58,250.18,1
10,153.84,298.25,1
11,149.04,173.97,1
12,174.13,309.33,1
13,176.94,254.96,1
14,181.49,271.04,1
15,200.55,336.98,1
16,223.67,401.35,1
17,186.20,218.57,1
18,195.30,249.71,1
19,191.04,146.22,1
20,196.20,184.09,1
21,208.98,230.51,1
22,218.09,260.49,1
23,204.77,140.32,1
24,207.09,152.90,1
25,210.13,166.49,1
26,213.82,180.89,1
27,213.69,110.01,1
28,216.27,122.09,1
29,219.28,134.83,1
30,222.85,148.52,1
31,226.85,163.02,1
32,235.10,130.78,1
33,243.48,160.56,1
34,251.12,191.34,1
35,268.92,203.20,1
36,272.47,158.38,1
37,279.56,186.65,1
38,289.81,222.84,1
39,298.07,196.13,1
40,301.56,207.19,1
41,304.16,216.79,1
42,308.21,236.25,1
43,303.07,167.21,1
44,315.44,201.18,1
45,303.43,128.31,1
46,316.06,161.23,1
47,325.68,185.39,1
48,333.65,208.37,1
49,340.26,222.64,1
50,311.62,111.62,1
51,334.26,166.93,1
52,343.33,187.52,1
53,359.08,181.88,1
54,390.32,255.30,1
55,341.31,114.59,1
56,345.81,122.69,1
57,375.23,174.04,1
58,418.83,279.24,1
59,387.20,165.72,1
60,454.03,318.78,1
61,396.65,152.50,1
62,402.83,159.27,1
63,370.06,87.42,1
64,404.85,132.78,1
65,411.59,145.03,1
66,418.76,152.68,1
67,382.37,78.88,1
68,393.15,98.89,1
69,399.14,107.63,1
70,405.55,110.87,1
71,412.57,116.18,1
72,419.70,125.43,1
73,426.80,137.18,1
74,419.37,105.77,1
75,442.32,129.40,1
76,458.09,121.83,1
77,474.13,113.54,1
78,542.98,263.16,1
79,436.28,43.51,1
80,448.44,66.95,1
81,477.73,106.32,1
82,457.04,46.12,1
83,466.08,24.22,1
84,472.32,36.38,1
85,478.93,48.18,1
86,485.82,59.77,1
87,493.05,71.08,1
88,500.52,82.44,1
89,481.45,14.50,1
90,559.98,183.62,1
91,560.60,198.31,1
92,568.43,211.78,1
93,579.14,224.71,1
94,606.49,250.61,1
95,622.84,280.40,1
