id,x,y,valid
0,451.93,359.32,1
1,456.95,319.14,1
2,460.86,292.91,1
3,463.07,279.81,1
4,469.51,239.86,1
5,468.22,191.90,1
6,466.35,181.88,1
7,440.10,327.78,1
8,441.90,314.80,1
9,443.68,301.96,1
10,449.38,263.93,1
11,420.29,364.12,1
12,436.52,248.92,1
13,416.89,283.62,1
14,418.61,271.20,1
15,425.93,221.94,1
16,429.77,174.92,1
17,402.12,306.78,1
18,404.13,281.92,1
19,384.56,374.39,1
20,387.99,331.40,1
21,394.05,292.09,1
22,395.33,267.58,1
23,376.43,375.75,1
24,377.82,360.40,1
25,377.93,345.25,1
26,379.25,330.87,1
27,362.92,409.68,1
28,365.00,393.09,1
29,366.40,376.66,1
30,367.57,360.63,1
31,367.77,344.94,1
32,353.81,376.83,1
33,356.67,344.45,1
34,359.85,314.20,1
35,348.48,297.63,1
36,329.29,342.29,1
37,334.11,310.79,1
38,337.77,266.56,1
39,321.23,293.43,1
40,323.19,278.34,1
41,323.50,264.23,1
42,320.65,246.84,1
43,300.89,320.77,1
44,308.22,275.92,1
45,279.74,354.30,1
46,285.66,316.86,1
47,290.05,289.62,1
48,293.19,252.21,1
49,294.22,240.45,1
50,264.08,362.09,1
51,272.10,300.39,1
52,275.71,271.67,1
53,261.38,258.23,1
54,275.47,195.31,1
55,237.94,342.47,1
56,238.83,330.64,1
57,245.15,255.77,1
58,268.73,166.13,1
59,224.09,266.46,1
60,268.89,124.01,1
61,206.00,280.02,1
62,207.07,264.16,1
63,194.80,356.85,1
64,188.08,292.90,1
65,189.95,277.32,1
66,193.03,261.52,1
67,179.83,356.16,1
68,176.48,337.19,1
69,173.83,329.17,1
70,171.63,318.77,1
71,170.94,305.39,1
72,172.24,290.17,1
73,175.54,274.47,1
74,154.52,317.39,1
75,161.65,271.66,1
76,146.82,269.03,1
77,132.05,266.37,1
78,179.35,116.21,1
79,113.83,359.07,1
80,107.86,337.75,1
81,114.72,278.92,1
82,93.90,348.16,1
83,80.26,358.38,1
84,80.04,345.32,1
85,81.17,331.27,1
86,82.68,316.94,1
87,83.32,302.80,1
88,83.88,288.16,1
89,66.33,355.76,1
90,93.78,151.97,1
91,100.83,139.82,1
92,111.31,132.57,1
93,122.62,128.54,1
94,136.81,112.00,1
95,145.15,86.67,1
