id,x,y,valid
0,131.15,267.77,1
1,153.17,303.62,1
2,166.99,329.08,1
3,172.88,342.76,1
4,199.62,382.87,1
5,231.35,448.72,1
6,241.12,465.81,1
7,157.72,281.71,1
8,164.97,293.81,1
9,172.86,306.13,1
10,190.45,346.92,1
11,151.80,238.51,1
12,209.88,351.22,1
13,201.29,298.66,1
14,207.48,312.01,1
15,241.79,369.83,1
16,282.93,434.66,1
17,203.17,264.86,1
18,213.54,288.22,1
19,182.76,202.03,1
20,204.32,234.15,1
21,222.09,266.64,1
22,236.23,291.22,1
23,195.33,193.90,1
24,202.42,204.24,1
25,209.57,214.71,1
26,216.61,225.26,1
27,194.22,166.30,1
28,200.97,176.08,1
29,207.68,185.86,1
30,214.62,195.89,1
31,221.71,206.10,1
32,219.73,177.80,1
33,233.47,197.31,1
34,247.80,217.67,1
35,266.75,218.42,1
36,255.97,179.02,1
37,271.31,199.09,1
38,296.51,232.33,1
39,292.07,202.26,1
40,300.37,212.80,1
41,309.40,224.05,1
42,325.21,248.89,1
43,288.50,175.84,1
44,312.77,205.25,1
45,277.73,137.30,1
46,300.02,170.48,1
47,315.23,190.82,1
48,340.92,221.01,1
49,349.46,229.68,1
50,281.74,122.90,1
51,318.85,176.15,1
52,334.90,192.65,1
53,354.57,193.29,1
54,393.35,223.42,1
55,308.62,128.04,1
56,316.24,136.39,1
57,365.45,183.38,1
58,428.41,236.38,1
59,367.52,166.49,1
60,474.95,262.28,1
61,369.25,149.24,1
62,378.10,156.11,1
63,322.18,88.66,1
64,370.34,130.53,1
65,379.62,138.65,1
66,388.90,145.68,1
67,330.74,77.68,1
68,346.02,90.07,1
69,353.16,95.52,1
70,361.77,102.56,1
71,371.03,110.73,1
72,380.47,119.22,1
73,390.09,127.57,1
74,371.56,90.35,1
75,400.74,115.91,1
76,411.67,103.71,1
77,422.96,90.95,1
78,525.80,183.22,1
79,364.69,22.83,1
80,382.77,34.57,1
81,423.89,69.29,1
82,383.31,12.39,1
83,383.89,-11.25,0
84,394.02,-2.61,0
85,404.44,6.39,1
86,415.02,15.36,1
87,425.77,24.12,1
88,436.75,32.67,1
89,394.73,-26.79,0
90,581.03,78.26,1
91,584.03,96.94,1
92,576.75,113.75,1
93,565.71,127.23,1
94,569.49,154.03,1
95,610.08,164.10,1
